row  column  (images_28.edf Mn-K*images_28.edf Ar-K**2.3)
0  0  6.19592e+06
0  1  5.27348e+06
0  2  7.95468e+06
0  3  1.11500e+07
0  4  6.04946e+06
0  5  6.42095e+06
0  6  4.45397e+06
0  7  4.80865e+06
0  8  4.05213e+06
0  9  5.19857e+06
0  10  2.90124e+06
0  11  6.36425e+06
0  12  4.06818e+06
0  13  4.98778e+06
0  14  3.98901e+06
0  15  5.73028e+06
0  16  6.11659e+06
0  17  8.84179e+06
0  18  6.00569e+06
0  19  8.56139e+06
0  20  7.15785e+06
0  21  5.52343e+06
0  22  8.55609e+06
0  23  7.88656e+06
0  24  6.80536e+06
0  25  2.88691e+06
0  26  5.10142e+06
0  27  1.03172e+07
0  28  6.13809e+06
0  29  7.93717e+06
0  30  4.98359e+06
0  31  5.52172e+06
0  32  7.80209e+06
0  33  6.62773e+06
0  34  4.81414e+06
0  35  1.02513e+07
0  36  5.07969e+06
0  37  4.65332e+06
0  38  5.51569e+06
0  39  8.98451e+06
0  40  6.51964e+06
0  41  5.90431e+06
0  42  3.50059e+06
0  43  4.03825e+06
0  44  6.69848e+06
0  45  8.40205e+06
0  46  1.13882e+07
0  47  5.13231e+06
0  48  6.88128e+06
0  49  9.62836e+06
0  50  9.10379e+06
0  51  7.82753e+06
0  52  5.22119e+06
0  53  6.70370e+06
0  54  7.58951e+06
0  55  4.64305e+06
0  56  6.50995e+06
0  57  6.16373e+06
0  58  6.32494e+06
0  59  5.92668e+06
0  60  7.43417e+06
0  61  8.21792e+06
0  62  1.05324e+07
0  63  2.85677e+06
0  64  1.06902e+07
0  65  6.33248e+06
0  66  5.92589e+06
0  67  9.17011e+06
0  68  2.26865e+06
0  69  7.51526e+06
0  70  5.56889e+06
0  71  1.08464e+07
0  72  7.65096e+06
0  73  6.66627e+06
0  74  7.06597e+06
0  75  8.04220e+06
0  76  9.01019e+06
0  77  5.15305e+06
0  78  6.87707e+06
0  79  9.86331e+06
0  80  7.09657e+06
0  81  1.25443e+07
0  82  8.33742e+06
0  83  6.73593e+06
0  84  3.84193e+06
0  85  6.32443e+06
0  86  9.01654e+06
0  87  7.70137e+06
0  88  7.78437e+06
0  89  6.39005e+06
0  90  4.37492e+06
0  91  1.15745e+07
0  92  2.58471e+06
0  93  8.79764e+06
0  94  7.70478e+06
0  95  1.12104e+07
0  96  8.25878e+06
0  97  4.90023e+06
0  98  1.13316e+07
0  99  7.61251e+06
0  100  3.99729e+06
0  101  7.55044e+06
0  102  1.00693e+07
0  103  1.31851e+07
0  104  1.06316e+07
0  105  2.79851e+06
0  106  0
0  107  1.38722e+07
0  108  1.07844e+07
0  109  8.91190e+06
0  110  1.08095e+07
0  111  1.24186e+07
0  112  1.39262e+07
0  113  6.87909e+06
0  114  6.73964e+06
0  115  5.94769e+06
0  116  2.32868e+06
0  117  0
0  118  0
0  119  0
0  120  0
1  0  7.96355e+06
1  1  7.56990e+06
1  2  3.83879e+06
1  3  7.17231e+06
1  4  5.58169e+06
1  5  6.50210e+06
1  6  5.96733e+06
1  7  4.03390e+06
1  8  2.39550e+06
1  9  3.25836e+06
1  10  3.23115e+06
1  11  6.17669e+06
1  12  8.64463e+06
1  13  5.77372e+06
1  14  2.31067e+06
1  15  3.53936e+06
1  16  6.89933e+06
1  17  4.05572e+06
1  18  6.07256e+06
1  19  6.88527e+06
1  20  1.34010e+07
1  21  5.65373e+06
1  22  4.57037e+06
1  23  5.01637e+06
1  24  6.44170e+06
1  25  8.31467e+06
1  26  8.66095e+06
1  27  9.20428e+06
1  28  6.96468e+06
1  29  7.68986e+06
1  30  7.43588e+06
1  31  6.28806e+06
1  32  8.06981e+06
1  33  6.65765e+06
1  34  7.73785e+06
1  35  6.76205e+06
1  36  6.58766e+06
1  37  6.62956e+06
1  38  0
1  39  5.88033e+06
1  40  9.63572e+06
1  41  8.27211e+06
1  42  8.28488e+06
1  43  9.39664e+06
1  44  7.93346e+06
1  45  4.00359e+06
1  46  6.66155e+06
1  47  4.33223e+06
1  48  1.01159e+07
1  49  7.63855e+06
1  50  8.24081e+06
1  51  6.69247e+06
1  52  1.10999e+07
1  53  8.90140e+06
1  54  7.80363e+06
1  55  7.23694e+06
1  56  6.81274e+06
1  57  1.14294e+07
1  58  6.49159e+06
1  59  7.89334e+06
1  60  5.00981e+06
1  61  1.08489e+07
1  62  6.81758e+06
1  63  8.69788e+06
1  64  2.93795e+06
1  65  1.89309e+06
1  66  8.08805e+06
1  67  6.30417e+06
1  68  3.07083e+06
1  69  6.83180e+06
1  70  1.17003e+07
1  71  8.44252e+06
1  72  6.54021e+06
1  73  1.02543e+07
1  74  6.49173e+06
1  75  2.20942e+06
1  76  7.19880e+06
1  77  7.07859e+06
1  78  5.85391e+06
1  79  8.33070e+06
1  80  3.23176e+06
1  81  6.59687e+06
1  82  6.73884e+06
1  83  7.50853e+06
1  84  6.59394e+06
1  85  7.55686e+06
1  86  3.00706e+06
1  87  8.87666e+06
1  88  5.51568e+06
1  89  6.37971e+06
1  90  9.12616e+06
1  91  1.03677e+07
1  92  3.80951e+06
1  93  7.32963e+06
1  94  6.99084e+06
1  95  7.98649e+06
1  96  5.47644e+06
1  97  2.13139e+06
1  98  5.73416e+06
1  99  5.77297e+06
1  100  1.07323e+07
1  101  5.54851e+06
1  102  7.10952e+06
1  103  6.66811e+06
1  104  1.20105e+07
1  105  9.19876e+06
1  106  9.20855e+06
1  107  1.41803e+07
1  108  9.78507e+06
1  109  1.24519e+07
1  110  2.72973e+06
1  111  1.31081e+07
1  112  9.10676e+06
1  113  5.24392e+06
1  114  9.51545e+06
1  115  4.90134e+06
1  116  2.87549e+06
1  117  0
1  118  0
1  119  0
1  120  0
2  0  5.69048e+06
2  1  6.57816e+06
2  2  4.08403e+06
2  3  8.26638e+06
2  4  7.64123e+06
2  5  6.79381e+06
2  6  6.36028e+06
2  7  5.01323e+06
2  8  5.17734e+06
2  9  2.07064e+06
2  10  4.96884e+06
2  11  6.67182e+06
2  12  3.18476e+06
2  13  6.85423e+06
2  14  4.75986e+06
2  15  7.86307e+06
2  16  6.43820e+06
2  17  8.08872e+06
2  18  8.11228e+06
2  19  3.89732e+06
2  20  7.78476e+06
2  21  8.57120e+06
2  22  9.70195e+06
2  23  7.31993e+06
2  24  6.37988e+06
2  25  8.80290e+06
2  26  8.05110e+06
2  27  6.03256e+06
2  28  9.12042e+06
2  29  5.69965e+06
2  30  3.63367e+06
2  31  2.87613e+06
2  32  3.29698e+06
2  33  4.37996e+06
2  34  9.88872e+06
2  35  7.24644e+06
2  36  6.15360e+06
2  37  3.68649e+06
2  38  4.86618e+06
2  39  8.39085e+06
2  40  7.07590e+06
2  41  9.15364e+06
2  42  6.02333e+06
2  43  2.96367e+06
2  44  6.03300e+06
2  45  4.55278e+06
2  46  6.18445e+06
2  47  6.88405e+06
2  48  8.61883e+06
2  49  7.46916e+06
2  50  8.63010e+06
2  51  6.63873e+06
2  52  6.04936e+06
2  53  7.49404e+06
2  54  5.88698e+06
2  55  5.44069e+06
2  56  9.60828e+06
2  57  8.14041e+06
2  58  9.27808e+06
2  59  8.18093e+06
2  60  1.19052e+07
2  61  8.65987e+06
2  62  8.11737e+06
